Date,Curency,Action,Ticker,Price,Qty,Note,,
2022-04-22,USD,SLD,MPW 20MAY22 19 P,0.62,-1,,,
2022-04-22,EUR,BOT,DIC,13.9,100,New position,,
2022-04-22,EUR,BOT,VNA,39.32,25,New position,,
2022-04-27,USD,BOT,OUT,26.265,40,New position,,
2022-05-11,EUR,BOT,DIC,12.56,48,Increase position,,
2022-05-11,EUR,BOT,VNA,33.86,10,Increase position,,
2022-05-05,USD,BOT,RICK,62.45,10,Increase position,,
2022-05-11,USD,BOT,KGC,4.315,100,Increase position,,
2022-05-11,USD,BOT,OUT,20.5593,24,Increase position,,
2022-05-19,USD,BOT,MPW,19,100,Option exercise,,
2022-05-16,EUR,BOT,VNA,33.18,10,,,
2021-09-17,USD,BOT,AGI,7.5,100,Increase position,,
2021-09-20,USD,BOT,BTG,3.585,80,Increase position,,
2021-11-29,USD,BOT,BTG,3.99,176,Increase position,,
2021-09-20,USD,BOT,EPR,44.328,6,Increase position,,
2021-11-29,USD,BOT,EPR,43.77,6,Increase position,,
2021-11-29,USD,BOT,FSM,3.485,173,Increase position,,
2021-09-17,USD,BOT,KGC,6,100,Increase position,,
2021-09-20,USD,BOT,KGC,5.3,55,Increase position,,
2021-11-29,USD,BOT,KGC,5.98,30,Increase position,,
2021-09-20,USD,BOT,VICI,29.21,10,Increase position,,
2021-11-29,EUR,BOT,LI,19.195,21,Increase position,,
2020-09-08,USD,BOT,ENB,31.15,23,New position,,
2022-06-13,EUR,BOT,DIC,11.66,9,Increase position,,
2022-06-13,EUR,BOT,VNA,31.16,4,Increase position,,
2022-06-13,USD,BOT,MPW,15.075,6,Increase position,,
2022-06-13,USD,BOT,OUT,16.545,8,Increase position,,
2022-06-13,USD,BOT,RICK,49.433,2,Increase position,,
2022-06-13,USD,BOT,STOR,24.865,4,Increase position,,
2022-06-20,EUR,BOT,DIC,11.56,18,Increase position,,
2022-06-20,EUR,BOT,VNA,31.5,6,Increase position,,
2022-06-21,USD,BOT,OUT,17.71,5,Increase position,,
2022-06-21,USD,BOT,KGC,4.09,25,Increase position,,
2022-06-21,USD,BOT,FSM,3.09,32,Increase position,,
2022-06-21,USD,BOT,MAC,9.22,10,Increase position,,
2022-06-21,USD,BOT,MPW,14.48,21,Increase position,,
2022-06-21,USD,BOT,SPG,97.44,1,Increase position,,
2022-06-21,USD,BOT,STAG,30.51,5,Increase position,,
2022-06-21,USD,BOT,STOR,25.6,4,Increase position,,
2022-06-21,USD,SLD,WPC,83.24,-11,exit position,,
2022-06-29,USD,BOT,KGC,3.82,300,Increase position,,
2022-07-01,USD,BOT,KGC,3.57,160,Increase position,,
2022-07-01,USD,BOT,BTG,3.35,160,Increase position,,
2022-07-05,USD,BOT,KGC,3.345,50,Increase position,,
2022-07-05,USD,BOT,BTG,3.26,50,Increase position,,
2022-07-05,USD,BOT,FSM,2.645,100,Increase position,,
