Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,CAD,7/29/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,8/8/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,8/15/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
Dividends,Data,CAD,8/31/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,9/8/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,9/15/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
Dividends,Data,CAD,9/30/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,10/7/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,10/17/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
Dividends,Data,CAD,10/31/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,11/7/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,11/15/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
Dividends,Data,CAD,11/30/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,12/7/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,12/15/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
Dividends,Data,EUR,5/16/2022,LI(FR0000121964) Cash Dividend EUR 1.70 per Share (Ordinary Dividend),132.6
Dividends,Data,EUR,6/1/2022,VNA.DVD(DE000A3MQQ33) Expire Dividend Right (Return of Capital),41.5
Dividends,Data,GBP,1/7/2022,BYG(GB0002869419) Cash Dividend GBP 0.206 per Share (PropertyIncomeDividend),5.15
Dividends,Data,GBP,7/29/2022,BYG(GB0002869419) Cash Dividend GBP 0.214 per Share (PropertyIncomeDividend),5.35
Dividends,Data,USD,1/3/2022,UNIT(US91325V1089) Cash Dividend USD 0.15 per Share (Ordinary Dividend),12.75
Dividends,Data,USD,1/6/2022,VICI(US9256521090) Cash Dividend USD 0.36 per Share (Ordinary Dividend),24.12
Dividends,Data,USD,1/10/2022,MO(US02209S1033) Cash Dividend USD 0.90 per Share (Ordinary Dividend),32.4
Dividends,Data,USD,1/10/2022,SQM(US8336351056) Cash Dividend USD 1.40698 per Share (Bonus Dividend),8.44
Dividends,Data,USD,1/13/2022,MPW(US58463J3041) Cash Dividend USD 0.28 per Share (Ordinary Dividend),37.52
Dividends,Data,USD,1/14/2022,O(US7561091049) Cash Dividend USD 0.2465 per Share (Ordinary Dividend),1.97
Dividends,Data,USD,1/14/2022,SRC(US84860W3007) Cash Dividend USD 0.638 per Share (Ordinary Dividend),6.38
Dividends,Data,USD,1/14/2022,WPC(US92936U1097) Cash Dividend USD 1.055 per Share (Ordinary Dividend),7.39
Dividends,Data,USD,1/18/2022,BRX(US11120U1051) Cash Dividend USD 0.24 per Share (Ordinary Dividend),10.32
Dividends,Data,USD,1/18/2022,EPR(US26884U1097) Cash Dividend USD 0.25 per Share (Ordinary Dividend),10.25
Dividends,Data,USD,1/18/2022,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,1/18/2022,STOR(US8621211007) Cash Dividend USD 0.385 per Share (Ordinary Dividend),33.88
Dividends,Data,USD,2/4/2022,VOD(US92857W3088) Cash Dividend USD 0.505613 per Share (Ordinary Dividend),33.38
Dividends,Data,USD,2/14/2022,WES(US9586691035) Cash Dividend USD 0.327 per Share (Limited Partnership),18.31
Dividends,Data,USD,2/15/2022,EPR(US26884U1097) Cash Dividend USD 0.25 per Share (Ordinary Dividend),14.25
